pid,creator,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,manifest,full
obj1,Pratt Institute Students,Turkey,"Schedule of Events for April 26, 1968 International Student Strike","April 26, 1968",schedule,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,0,qatar_item,qatar,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,"/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg"
obj2,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,1,qatar_item,qatar,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,"/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg"
obj3,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,2,qatar_item,qatar,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json,"/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg"
obj4,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,3,qatar_item,qatar,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json,"/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg"
obj5,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,4,qatar_item,qatar,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json,"/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg"
obj6,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,5,qatar_item,qatar,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json,"/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg"
obj7,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,6,qatar_item,qatar,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json,"/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg"
obj8,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,7,qatar_item,qatar,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json,"/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg"
obj9,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,8,qatar_item,qatar,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json,"/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg"
obj10,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,9,qatar_item,qatar,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json,"/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg"
obj11,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,10,qatar_item,qatar,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json,"/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg"
obj12,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,11,qatar_item,qatar,"/img/derivatives/iiif/images/obj12_00/full/250,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json,"/img/derivatives/iiif/images/obj12_00/full/1140,/0/default.jpg"
obj13,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,12,qatar_item,,,,
obj14,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,13,qatar_item,,,,
obj15,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj16,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj17,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj18,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj19,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj20,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj21,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj22,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj23,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj24,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj25,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj26,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj27,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj28,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj29,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj30,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj31,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj32,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj33,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj34,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj35,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj36,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj37,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj38,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj39,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj40,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj41,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj42,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj43,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj44,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,
obj45,,,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",,,,,,,